Key,Value
T1027.011,Attacker has used the Registry to store encrypted and encoded payloads.
T1036.004,Software has established persistence by creating a new service named `FAX` after deleting the legitimate service by the same name.
T1025,"Interactive command shells may be in use, and common functionality within Software may be used to gather information."
T1204.002,"During , the threat actors relied on potential victims to open a malicious Microsoft Word document sent via email."
T1095,Software can use TCP for C2 communications.
T1574.001,"Adversaries may plant trojan dynamic-link library files  in a directory that will be searched before the location of a legitimate library that will be requested by a program, causing Windows to load their malicious library when it is called for by the victim program."
T1560.003,Software has used a custom implementation of AES encryption to encrypt collected data.
T1573.001,Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
T1057,Software can retrieve a list of running processes from a compromised machine.
T1480.001,Attacker has been observed utilizing environmental keying in payload delivery.
T1105,Software creates a backdoor through which remote attackers can download files and additional malware components.
T1503,This can result in significantly furthering an adversary's objective in cases where credentials gained from web browsers overlap with privileged accounts (e.g.
T1055.004,A handle to an existing victim process is first created with native Windows API calls such as <code>OpenThread</code>.
T1041,Software can send network system data and files to its C2 server.
T1049,Attacker has used <code>net use</code> to identify and establish a network connection with a remote host.
T1548.002,Software has attempted to bypass UAC using `fodhelper.exe` to escalate privileges.
T1018,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system."
T1562.004,"Adversaries may also modify host networking settings that indirectly manipulate system firewalls, such as interface bandwidth or network connection request thresholds."
T1083,Attacker uses command-line interaction to search files and directories.
T1518.001,Software has the ability to identify the installed anti-virus product on the compromised host.
T1053.005,Software can achieve persistence by copying its DLL to a subdirectory of %APPDATA% and creating a Visual Basic Script that will load the DLL via a scheduled task.
T1518.001,Software can check for antivirus and antimalware programs.
T1566.002,"All forms of spearphishing are electronically delivered social engineering targeted at a specific individual, company, or industry."
T1105,"Software has downloaded additional files, including an exploit for used privilege escalation."
T1536,An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence.
T1590.004,"Adversaries may gather this information in various ways, such as direct collection actions via  or ."
T1016,"Software can retrieve the ARP cache from the local system by using the <code>GetIpNetTable</code> API call and check to ensure IP addresses it connects to are for local, non-Internet, systems."
T1518.001,"Attacker has obtained information on security software, including security logging information that may indicate whether their malware has been detected."
T1555.003,Attacker has used the Stealer One credential stealer to target web browsers.
T1114.002,Attacker used a tool called MailSniper to search through the Exchange server mailboxes for keywords.
T1046,Software has used masscan to look for kubelets in the internal Kubernetes network.
T1059.005,Attacker has used VBS scripts.
T1583.008,"Purchased ads may also target specific audiences using the advertising network’s capabilities, potentially further taking advantage of the trust inherently given to search engines and popular websites."
T1583.001,Adversaries may also use internationalized domain names  and different character sets (e.g.
T1185,"A specific example is when an adversary injects software into a browser that allows them to inherit cookies, HTTP sessions, and SSL client certificates of a user then use the browser as a way to pivot into an authenticated intranet."
T1016,"Software collects the victim IP address, MAC address, as well as the victim account domain name."
T1559,Adversaries may abuse IPC to execute arbitrary code or commands.
T1027.013,Software encrypts strings with XOR. Software also encrypts all configuration and settings in AES and RC4.
T1082,Attacker has used a reconnaissance module to gather information about the operating system and hardware on the infected host.
T1007,Software can check the services on the system.
T1027.002,The first stage of Software is delivered as a packed file.
T1194,"If the payload doesn't work as expected, the adversary can continue normal communications and troubleshoot with the target on how to get it working."
T1567.003,"Furthermore, paid features and encryption options may allow adversaries to conceal and store data more securely."
T1574.002,Software side loads its communications module as a DLL into the <code>libcurl.dll</code> loader.
T1566.002,Software has been distributed as a malicious link within an email.
T1070.006,"Software can change the `CreationTime`, `LastAccessTime`, and `LastWriteTime` file time attributes when executed with `SYSTEM` privileges."
T1542.003,"An adversary who has raw access to the boot drive may overwrite this area, diverting execution during startup from the normal boot loader to adversary code."
T1562.003,"<code>HISTCONTROL</code> can also be set to ignore duplicate commands by setting it to ""ignoredups""."
T1133,During the Attacker used VPN access to persist in the victim environment.
T1586.001,"Attacker creates credential capture webpages to compromise existing, legitimate social media accounts."
T1567.002,Attacker has exfiltrated stolen files and data to actor-controlled Blogspot accounts.
T1033,Software can collect the owner and organization information from the target workstation.
T1217,"Browser information may also highlight additional targets after an adversary has access to valid credentials, especially  associated with logins cached by a browser."
T1027.013,Software has encrypted an ELF file.
T1021.002,Attacker malware SierraAlfa accesses the <code>ADMIN$</code> share via SMB to conduct lateral movement.
T1055.004,Queued APC functions are executed when the thread enters an alterable state.
T1205,"Adversaries may use crafted packets to attempt to connect to one or more  ports, but may also attempt to connect to a router interface, broadcast, and network address IP on the same port in order to achieve their goals and objectives."
T1546.008,Common methods used by adversaries include replacing accessibility feature binaries or pointers/references to these binaries in the Registry.
T1041,Software has exfiltrated data to the C2 server.
T1059.003,"Attacker has executed HTA files via cmd.exe, and used batch scripts for collection."
T1036.005,"Attacker has dropped their malware into legitimate installed software paths including: `C:\ProgramFiles\Realtek\Audio\HDA\AERTSr.exe`, `C:\Program Files \Foxit Software\Foxit Reader\FoxitRdr64.exe`, `C:\Program Files \Adobe\Flash Player\AddIns\airappinstaller\airappinstall.exe`, and `C:\Program Files \Adobe\Acrobat Reader DC\Reader\AcroRd64.exe`."
T1033,Software can execute <code>getinfo</code>  to identify the username on a compromised host.
T1570,Software can copy files to other machines on a compromised network.
T1070.004,Software has the ability to delete files and directories.
T1016,Software can use Software to discover a target's network configuration setttings.
T1176,"Malicious extensions can be installed into a browser through malicious app store downloads masquerading as legitimate extensions, through social engineering, or by an adversary that has already compromised a system."
T1047,Software can execute a WMI query to gather information about the installed antivirus engine.
T1134,"However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level."
T1558,"By default, access to these ccache entries is federated through the KCM daemon process via the Mach RPC protocol, which uses the caller's environment to determine access."
T1112,Software can install encrypted configuration data under the Registry key <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\ShellCompatibility\Applications\laxhost.dll</code> and <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\PrintConfigs</code>.
T1027.003,Software can use .jpg and .bmp files to store its payload.
T1047,Software searches for anti-virus software and firewall products installed on the victim’s machine using WMI.
T1137.006,Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system.
T1518,Attacker has collected browser information from a compromised host.
T1550,"Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."
T1586,"), adversaries may compromise existing accounts."
T1547.012,Adversaries may abuse the print spooler service by adding print processors that load malicious DLLs at startup.
T1564.011,"Adversaries may invoke processes using `nohup`,  `-ErrorAction SilentlyContinue`, or similar commands that may be immune to hangups."
T1059.003,Software's server component is capable of opening a command terminal.
T1531,Software has the ability to change the password of local users on compromised hosts and can log off users.
T1059.003,Attacker has executed Windows commands by using `cmd` and running batch scripts.
T1071.001,"Software has used HTTP for C2, including sending error codes in Cookie headers."
T1547,Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.
T1037.004,Software adds an entry to the rc.common file for persistence.
T1070.004,Software has commands to delete files and persistence mechanisms from the victim.
T1016.002,"For example, on Windows names and passwords of all Wi-Fi networks a device has previously connected to may be available through `netsh wlan show profiles` to enumerate Wi-Fi names and then `netsh wlan show profile “Wi-Fi name” key=clear` to show a Wi-Fi network’s corresponding password."
T1560.003,"Software can use a dynamic XOR key and a custom XOR methodology to encode data before exfiltration. Also, Software can encode C2 command output within a legitimate WebP file."
T1106,Software used several Windows API functions to gather information from the infected system.
T1573.001,Software can send additional modules over C2 encrypted with a simple substitution cipher.
T1102,"Software can communicate with its operators by exploiting the Simplenote, DropBox, and the social media platform, Facebook, where it can create fake accounts to control the backdoor and receive instructions."
T1588.002,"Software, Software, Software, Software, Software, and Software."
T1574.002,Attacker has used legitimate applications to side-load malicious DLLs.
T1053.003,Software uses crontab for persistence if it does not have root privileges.
T1021.005,Software has the ability of performing remote desktop access via a VNC console.
T1012,Software can search the registry files of a compromised host.
T1585,Adversaries can create accounts that can be used to build a persona to further operations.
T1082,Software can collect the computer name and enumerate all drives on a compromised host.
T1210,"Servers are likely a high value target for lateral movement exploitation, but endpoint systems may also be at risk if they provide an advantage or access to additional resources."
T1547.001,"To establish persistence, Software identifies the Start Menu Startup directory and drops a link to its own executable disguised as an “Office Start,” “Yahoo Talk,” “MSN Gaming Z0ne,” or “MSN Talk” shortcut."
T1553.003,"Because of the varying executable file types and corresponding signature formats, Microsoft created software components called Subject Interface Packages   to provide a layer of abstraction between API functions and files."
T1157,macOS and OS X use a common method to look for required dynamic libraries  to load into a program based on search paths.
T1048.003,This may include custom or publicly available encoding/compression algorithms  as well as embedding data within protocol headers and fields.
T1057,Software can list all running processes.
T1059.005,Attacker has used Visual Basic to download malicious payloads. Attacker has also used malicious VBA macros within maldocs disguised as forms that trigger when a victim types any content into the lure.
T1134.003,Attacker has utilized tools such as Incognito V2 for token manipulation and impersonation.
T1548.002,Software can utilize multiple methods to bypass UAC.
T1021.007,"Similarly, adversaries may connect to available cloud services through the web console or through the cloud command line interface  ), using commands such as <code>Connect-AZAccount</code> for Azure PowerShell, <code>Connect-MgGraph</code> for Microsoft Graph PowerShell, and <code>gcloud auth login</code> for the Google Cloud CLI."
T1587.003,"They include information about the key, information about its owner's identity, and the digital signature of an entity that has verified the certificate's contents are correct."
T1113,"Software's ""beacon"" payload is capable of capturing screenshots."
T1036,Software has used an icon mimicking a text file to mask a malicious executable.
T1570,Software ransomware--to an Active Directory Domain Controller and distributed via the Default Domain Group Policy Object.
T1574.009,"This technique can be used for persistence if executables are called on a regular basis, as well as privilege escalation if intercepted executables are started by a higher privileged process."
T1546.016,"Depending on the distribution, Linux versions of package installer scripts are sometimes called maintainer scripts or post installation scripts."
T1547.001,Software establishes persistence by adding a Registry Run key.
T1218.011,Attacker has used `rundll32.exe` to execute malicious scripts and malware on a victim's network.
T1079,"Software can use Obfs3, a pluggable transport, to add another layer of encryption and obfuscate TLS."
T1186,"To ensure data integrity, TxF enables only one transacted handle to write to a file at a given time."
T1562.001,Software has stopped services related to anti-virus.
T1573.001,Attacker installed a Delphi backdoor that used a custom algorithm for C2 communications.
T1132.001,Software can Base64 encode system information sent to C2.
T1490,Software has the functionality to delete shadow copies.
T1125,Software can access a system’s webcam and take pictures.
T1070.006,During the Attacker modified timestamps of backdoors to match legitimate Windows files.
T1071.002,Software has used FTP for C2 communications.
T1087.002,Software has the ability to enumerate domain admin accounts.
T1033,Attacker has used `whoami` to gather user information.
T1105,Software has the ability to download files to the compromised host.
T1561.002,Attacker has used a custom MBR wiper named BOOTWRECK to render systems inoperable.
T1016,Software has the ability to identify network settings on a compromised host.
T1561.001,"Attacker has used malware like WhiskeyAlfa to overwrite the first 64MB of every drive with a mix of static and random buffers. A similar process is then used to wipe content in logical drives and, finally, attempt to wipe every byte of every sector on every drive. WhiskeyBravo can be used to overwrite the first 4.9MB of physical drives. WhiskeyDelta can overwrite the first 132MB or 1.5MB of each drive with random data from heap memory."
T1049,Software has used Software to find RPC connections on remote machines.
T1574.013,"After the process is hijacked and malicious code is executed, the <code>KernelCallbackTable</code> may also be restored to its original state by the rest of the malicious payload."
T1210,Software propagates using the MS10-061 Print Spooler and MS08-067 Windows Server Service vulnerabilities.
T1078,Attacker has used previously compromised administrative accounts to escalate privileges.
T1591.002,"Gathering this information may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access , , or )."
T1016.001,Software with commands such as `CSIDL_SYSTEM\cmd.exe /c ping -n 1`.
T1034,"These techniques can be used for persistence if executables are called on a regular basis, as well as privilege escalation if intercepted executables are started by a higher privileged process."
T1095,Attacker has used Metasploit Bind and Reverse TCP stagers.
T1005,Attacker has collected files and other sensitive information from a compromised network.
T1486,"Software has disrupted systems by encrypting files on targeted machines, claiming to decrypt files if a ransom payment is made. Software has used the ChaCha algorithm, based on Salsa20, and an RSA algorithm to encrypt files."
T1573.002,Attacker used the Plink utility and other tools to create tunnels to C2 servers.
T1056.002,"Adversaries may also mimic common software authentication requests, such as those from browsers or email clients."
T1566.003,Attacker has used fake personas on social media to engage and target victims.
T1555.004,Attacker has used credential dumping tool named VALUEVAULT to steal credentials from the Windows Credential Manager.
T1016,Software has called <code>GetIpNetTable</code> in attempt to identify all mounted drives and hosts that have Address Resolution Protocol  entries.
T1204.002,Software has lured victims into opening macro-enabled Word documents for execution.
T1560.002,Software compressed data with zlib prior to sending it over C2.
T1573.002,Software can use TLS to encrypt its C2 channel.
T1027.006,Adversaries may deliver payloads to victims that bypass security controls through HTML Smuggling by abusing JavaScript Blobs and/or HTML5 download attributes.
T1070.001,Software can delete Windows Event logs by invoking the `OpenEventLogW` and `ClearEventLogW` functions.
T1587.004,Adversaries may use information acquired via  to focus exploit development efforts.
T1120,"Attacker has used an executable to detect removable media, such as USB flash drives."
T1033,Software has the capability to gather the username from the victim's machine.
T1602,Configuration repositories may also facilitate remote access and administration of devices.
T1027,Software’s plugins were obfuscated with Eazfuscater.NET 3.3.
T1566,"Adversaries may send victims emails containing malicious attachments or links, typically to execute malicious code on victim systems."
T1003.004,Software can dump LSA secrets.
T1012,Software can use the Registry for code updates and to collect credentials.
T1550.002,"During , threat actors used pass-the-hash tools to obtain authenticated access to sensitive internal desktops and servers."
T1027.001,"Public file scanning services, such as VirusTotal, limits the maximum size of an uploaded file to be analyzed."
T1105,Software has a command to download and executes additional files.
T1027,"Software can encrypt strings with XOR-based routines and use a custom AES storage format for plugins, configuration, C2 domains, and harvested data."
T1078.002,Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain.
T1016.001,"Attacker has checked for network connectivity from a compromised host using `ping`, including attempts to contact `googlecom`."
T1546.012,During the Attacker modified and added entries within <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options</code> to maintain persistence.
T1218.001,"CHM files are compressed compilations of various content such as HTML documents, images, and scripting/web related programming languages such VBA, JScript, Java, and ActiveX."
T1592.002,Adversaries may gather information about the victim's host software that can be used during targeting.
T1056.004,"* **Inline hooking**, which overwrites the first bytes in an API function to redirect code flow."
T1083,A Attacker payload has searched all fixed drives on the victim for files matching a specified list of extensions.
T1585.002,"Adversaries can use accounts created with email providers to further their operations, such as leveraging them to conduct  or ."
T1059.009,APIs available in cloud environments provide various functionalities and are a feature-rich method for programmatic access to nearly all aspects of a tenant.
T1082,Software discovers information about the infected machine.
T1587.001,"Software and Software, in their operations."
T1105,Software has the ability to drop additional files to an infected machine.
T1102.002,Software can use public cloud-based storage providers for command and control.
T1003.001,"As well as in-memory techniques, the LSASS process memory can be dumped from the target host and analyzed on a local system."
T1046,"During , threat actors scanned for open ports and used nbtscan to find NETBIOS nameservers."
T1005,Software steals user files from local hard drives with file extensions that match a predefined list.
T1112,Software has registered two registry keys for shim databases.
T1033,Software has run the whoami command and has a built-in command to identify the user logged in.
T1205,This may take the form of sending a series of packets with certain characteristics before a port will be opened that the adversary can use for command and control.
T1071.001,Software can use HTTP and HTTPS in communications with remote hosts.
T1090,Software can identify and use configured proxies in a compromised network for C2 communication.
T1083,Software has a command to retrieve metadata for files on disk as well as a command to list the current working directory.
T1546.003,During Attacker used WMI event subscriptions to establish persistence for malware.
T1105,Attacker has downloaded additional code and files from servers onto victims.
T1027.011,Software can store its encoded configuration file within <code>Software\Classes\scConfig</code> in either <code>HKEY_LOCAL_MACHINE</code> or <code>HKEY_CURRENT_USER</code>.
T1083,"Software has used <code>dir</code> to search for ""programfiles"" and ""appdata""."
T1595.002,"Vulnerability scans typically harvest running software and version numbers via server banners, listening ports, or other network artifacts."
T1027.003,"Software can hide data in images, including use of the Least Significant Bit ."
T1588.004,SSL/TLS certificates are designed to instill trust.
T1098.002,Adversaries may also assign mailbox folder permissions through individual folder permissions or roles.
T1003.001,"Attacker has used publicly available tools to dump password hashes, including ProcDump and WCE."
T1027,"Environment variables, aliases, characters, and other platform/language specific semantics can be used to evade signature based detections and application control mechanisms."
T1078.002,"If Software cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion."
T1614,"Before executing malicious code, Software checks the Windows API <code>GetLocaleInfoW</code> and doesn't encrypt files if it finds a former Soviet country."
T1574.002,Software into memory on the victim machine.
T1005,Software has the ability to upload files from a compromised system.
T1568,Software can be configured to use dynamic DNS.
T1016,Software can use `getmac` and `Get-NetIPAddress` to enumerate network settings.
T1057,Software can send process listings over the C2 channel.
T1218.009,The code with the registration and unregistration attributes will be executed even if the process is run under insufficient privileges and fails to execute.
T1041,Software can exfiltrate SSH credentials through custom DNS queries.
T1082,Successful authenticated API calls can return data such as the operating system platform and status of a particular instance or the model view of a virtual machine.
T1140,Software has used unique per machine passwords to decrypt the orchestrator payload and a hardcoded XOR key to decrypt its communications module. Software has also used a unique password to decrypt the file used for its hidden file system.
T1553.004,Cloned certificate chains will carry many of the same metadata characteristics of the source and can be used to sign malicious code that may then bypass signature validation tools
T1584,"Compromised infrastructure can help adversary operations blend in with traffic that is seen as normal, such as contact with high reputation or trusted sites."
T1574.001,Programs that fall victim to path hijacking may appear to behave normally because malicious DLLs may be configured to also load the legitimate DLLs they were meant to replace.
T1070.006,"Many Software samples were programmed using Borland Delphi, which will mangle the default PE compile timestamp of a file."
T1027.008,Adversaries may use stripped payloads in order to make malware analysis more difficult.
T1538,"Depending on the configuration of the environment, an adversary may be able to enumerate more information via the graphical dashboard than an API."
T1065,Software establishes outbound connections for command and control on ports 2280 and 1339.
T1015,"After the Registry is modified, pressing the appropriate key combination at the login screen while at the keyboard or when connected with RDP will cause the ""debugger"" program to be executed with SYSTEM privileges."
T1080,Software can spread itself by infecting other remote machines via network shared drives.
T1153,** /path/to/filename </code>.
T1586,Personas may exist on a single site or across multiple sites .
T1571,Adversaries may communicate using a protocol and port pairing that are typically not associated.
T1547.007,.plist</code> within the <code>~/Library/Preferences/ByHost</code> directory.
T1586,"For operations incorporating social engineering, the utilization of an online persona may be important."
T1112,Software has overwritten registry keys for persistence.
T1016,Software can retrieve the ARP cache from the local system by using <code>GetIpNetTable</code>.
T1574.014,"Alternatively, configuration files  or process environment variables that define .NET runtime settings may be tampered with to instruct otherwise benign .NET applications to load a malicious assembly  into the target process."
T1016,Software can be used to display ARP configuration information on the host.
T1552.003,Adversaries can abuse this by looking through the file for potential credentials.
T1558.001,Golden tickets enable adversaries to generate authentication material for any account in Active Directory.
T1027.013,Software's DLL file and non-malicious decoy file are encrypted with RC4 and some function name strings are obfuscated.
T1034,"An adversary may place a program called ""net.exe"" within the same directory as example.exe, ""net.exe"" will be run instead of the Windows system utility net."
T1119,Software executes an RAR tool to recursively archive files based on a predefined list of file extensions .
T1574.007,The PATH environment variable contains a list of directories  that the OS searches sequentially through in search of the binary that was called from a script or the command line.
T1003.007,"When executing with root privileges, adversaries can search these memory locations for all processes on a system that contain patterns indicative of credentials."
T1053.005,Software has used scheduled tasks to add persistence.
T1002,"Software has created password-protected RAR, WinImage, and zip archives to be exfiltrated."
T1049,Software enumerates the current network connections similar to <code> net use </code>.
T1082,Attacker has used a tool to capture the processor architecture of a compromised host in order to register it with C2.
T1007,Software can list running services.
T1568.002,Software has used the DynDNS service and a DGA based on the Dogecoin blockchain to generate C2 domains.
T1543.003,Software has created a Windows service named `WmdmPmSp` to establish persistence.
T1072,"For example, Microsoft Configuration Manager allows Global or Intune Administrators to run scripts as SYSTEM on on-premises devices joined to Azure AD."
T1568.002,Attacker has used a DGA to generate URLs from executed macros.
T1059.003,Software has the ability to use the command line to control execution on compromised hosts.
T1027.009,"In some cases, embedded payloads may also enable adversaries to  by not impacting execution controls such as digital signatures and notarization tickets."
T1199,Attacker has used compromised credentials from an IT company to target downstream customers including a law firm and aviation company.
T1568.002,Software uses a DGA that is based on the day of the month for C2 servers.
T1106,Software can use Windows API functions to inject the ransomware DLL.
T1027,Attacker has used string encoding with floating point calculations.
T1518.001,Software enumerates the currently running processes related to a variety of security products.
T1190,"Attacker exploited Apache Struts, Oracle WebLogic , and Adobe ColdFusion  vulnerabilities to deliver malware."
T1036.005,Attacker has replaced .dockerd and .dockerenv with their own scripts and cryptocurrency mining software.
T1125,Software has the ability to record video on a compromised host.
T1578.005,"Customers may request adjustments to these quotas to support increased computing needs, though these adjustments may require approval from the cloud provider."
T1110.003,Attacker has used password spraying to gain access to target systems.
T1001,Adversaries may obfuscate command and control traffic to make it more difficult to detect.
T1071.002,Software supports SMB-based peer-to-peer C2 profiles.
T1082,Attacker uses multiple built-in commands such as <code>systeminfo</code> and `net config Workstation` to enumerate victim system basic configuration information.
T1176,Software can use malicious browser extensions to steal cookies and other user information.
T1204.002,Software has gained execution through users opening malicious attachments.
T1082,"Software gathers BIOS versions and manufacturers, the number of CPU cores, the total physical memory, and the computer name."
T1059.001,Software can execute PowerShell scripts.
T1543.003,Software can utilize built-in modules to modify service binaries and restore them to their original state.
T1070.004,Attacker has deleted the exfiltrated data on disk after transmission. Attacker has also used an instrumentor script to terminate browser processes running on an infected system and then delete the cookie files on disk.
T1018,"Attacker can enumerate remote systems, such as VMware vCenter infrastructure."
T1562.003,Adversaries can abuse this to operate without leaving traces by simply prepending a space to all of their terminal commands.
T1573.001,Software C2 messages are encrypted with custom stream ciphers using six-byte or eight-byte keys.
T1059.003,Software can execute commands via the command line shell.
T1593.003,Adversaries may search various public code repositories for various information about a victim.
T1082,"Attacker has attempted to get detailed information about a compromised host, including the operating system, version, patches, hotfixes, and service packs."
T1112,Software can delete all Registry entries created during its execution.
T1610,"In some cases, adversaries may deploy a new container to execute processes associated with a particular image or deployment, such as processes that execute or download malware."
T1572,Attacker has set up remote SSH tunneling into the victim's environment from a malicious domain.
T1046,Software can launch port scans.
T1059.003,Software can use CMD to execute a process.
T1574.012,The COR_PROFILER is a .NET Framework feature which allows developers to specify an unmanaged  profiling DLL to be loaded into each .NET process that loads the Common Language Runtime .
T1574.002,Software loaders can be side-loaded with legitimate and signed executables including the  VLC.exe media player.
T1071.001,"During , the threat actors enabled HTTP and HTTPS listeners."
T1218.003,CMSTP.exe can also be abused to  and execute arbitrary commands from a malicious INF through an auto-elevated COM interface.
T1124,Software can determine the time on the victim machine via IPinfo.
T1205,Usually this series of packets consists of attempted connections to a predefined sequence of closed ports (i.e.
T1003,Attacker has been known to dump credentials.
T1052.001,Software has a feature to copy files from every drive onto a removable drive in a hidden folder.
T1027.007,Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis.
T1082,"Software collects the victim’s computer name, processor architecture, OS version, volume serial number, and system type."
T1059.006,Software is also written in Python.
T1129,Software creates a backdoor through which remote attackers can load and call DLL functions.
T1070.004,Software is capable of file deletion along with other file system interaction.
T1527,"For example, if a token grants access to a victim’s primary email, the adversary may be able to extend access to all other services which the target subscribes by triggering forgotten password routines."
T1105,Software can download additional scripts from a web server.
T1055,Software has the ability to inject shellcode into svchost.exe.
T1132.001,Software can encode C2 data with a custom technique that utilizes Base64.
T1590.001,"Where third-party cloud providers are in use, this information may also be exposed through publicly available API endpoints, such as GetUserRealm and autodiscover in Office 365 environments."
T1105,Attacker has downloaded additional tools and malware onto compromised hosts.
T1068,Attacker has used exploits to increase their levels of rights and privileges.
T1556.005,An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems.
T1569.002,Software can run a command on another machine using Software.
T1003.004,Attacker has used a modified version of pentesting tools wmiexec.vbs and secretsdump.py to dump credentials.
T1005,"Software contains a collection of Exfiltration modules that can access data from local files, volumes, and processes."
T1553,Operating systems and security products may contain mechanisms to identify programs or websites as possessing some level of trust.
T1089,Dragonfly disabled the host-based firewall on a victim and globally opened port 3389.
T1562.008,Cloud environments allow for collection and analysis of audit and application logs that provide insight into what activities a user does within the environment.
T1036.005,"Software has a C2 proxy tool that masquerades as <code>GUP.exe</code>, which is software used by Notepad++."
T1034,"For example, ""example.exe"" runs ""cmd.exe"" with the command-line argument <code>net user</code>."
T1588.001,"In addition to downloading free malware from the internet, adversaries may purchase these capabilities from third-party entities."
T1036.004,"During , the threat actors named a malicious scheduled task ""WinUpdate"" for persistence."
T1105,Software can receive configuration updates and additional payloads including wscpy.exe from C2.
T1615,Software has the ability to collect local admin information via GPO.
T1082,"Software uses the Delphi methods <code>Sysutils::DiskSize</code> and <code>GlobalMemoryStatusEx</code> to collect disk size and physical memory as part of the malware's anti-analysis checks for running in a virtualized environment. Software will gather various system information such as display adapter description, operating system type and version, processor type, and RAM amount."
T1053.005,Software to register a scheduled task to execute malware during lateral movement.
T1071.003,Packets produced from these protocols may have many fields and headers in which data can be concealed.
T1082,"Software collects system information including computer and domain names, OS version, and S7P paths."
T1204,This activity may also be seen shortly after .
T1562.003,"This means that “ ls” will not be saved, but “ls” would be saved by history."
T1183,Malware may also use IFEO for Defense Evasion by registering invalid debuggers that redirect and effectively disable various system and security applications.
T1043,Software uses a custom command and control protocol that communicates over commonly used ports. The C2 protocol is encapsulated in common application layer protocols.
T1082,The initial beacon packet for Software contains the operating system version and file system of the victim.
T1027,Attacker has run encoded commands from the command line.
T1620,"Reflectively loaded payloads may be compiled binaries, anonymous files , or just snubs of fileless executable code ."
T1558.003,Service principal names  are used to uniquely identify each instance of a Windows service.
T1083,Attacker has used a program named ff.exe to search for specific documents on compromised hosts.
T1107,"Removal of these files can occur during an intrusion, or as part of a post-intrusion process to minimize the adversary's footprint."
T1027.002,Software has been packed with UPX.
T1566,Attacker has used spear phishing to initially compromise victims.
T1573.001,"Software will decrypt resources it downloads with HTTP requests by using RC4 with the key ""ScoutEagle."""
T1055,Software can inject itself into another process to avoid detection including use of a technique called ListPlanting that customizes the sorting algorithm in a ListView structure.
T1112,Software has the ability to modify the Registry key <code>HKCU\Software\ApplicationContainer\Appsw64</code> to store information regarding the C2 server and downloads.
T1070.005,Windows shared drive and  connections can be removed when no longer needed.
T1555,Software is capable of stealing Outlook passwords.
T1555.003,Software has a module to collect usernames and passwords stored in browsers.
T1588.002,"Software, Software, and Software."
T1573.002,"As such, these protocols are classified as ."
T1046,Attacker used a malware variant called WIDETONE to conduct port scans on specified subnets.
T1566.001,Attacker has used spearphishing emails to send trojanized Microsoft Word documents.
T1596,Adversaries may search in different open databases depending on what information they seek to gather.
T1564.009,Software uses a resource fork to present a macOS JPEG or text file icon rather than the executable's icon assigned by the operating system.
T1550.002,Attacker has used pass the hash for lateral movement.
T1026,**This technique has been deprecated and should no longer be used.
T1078,Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network.
T1530,"This open access may expose various types of sensitive data, such as credit cards, personally identifiable information, or medical records."
T1083,Software collects the victim's %TEMP% directory path and version of Internet Explorer.
T1562.004,Software kills and disables services for Windows Firewall.
T1003.001,Software can create a memory dump of LSASS via the `MiniDumpWriteDump Win32` API call.
T1012,Software queries the Registry for keys and values.
T1078.003,Attacker has used local account credentials found during the intrusion for lateral movement and privilege escalation.
T1087.003,Software collects email addresses from Outlook.
T1133,"In containerized environments, this may include an exposed Docker API, Kubernetes API server, kubelet, or web application such as the Kubernetes dashboard."
T1499,"To perform DoS attacks against endpoint resources, several aspects apply to multiple methods, including IP address spoofing and botnets."
T1547.001,Software can establish persistence with the auto start function including using the value `EverNoteTrayUService`.
T1053.005,"The deprecated Software utility could also be abused by adversaries ), though <code>at.exe</code> can not access tasks created with <code>schtasks</code> or the Control Panel."
T1053.005,Attacker has used scheduled tasks to automatically log out of created accounts every 8 hours as well as to execute malicious files.
T1580,"Unlike in , this technique focuses on the discovery of components of the provided services rather than the services themselves."
T1203,Attacker has exploited CVE-2018-0798 for execution.
T1150,These files are UTF-8 encoded and formatted like XML documents via a series of keys surrounded by < >.
T1490,Together this activity may leave network devices completely inoperable and inhibit recovery operations.
